DESCRICAO;Cod_filial;FILIAL;CODPROD;CODFORNEC;FORNECEDOR;EMBALAGEM;QTESTGER;QTINDENIZ;CUSTOULTENT;QTRESERV;QTPENDENTE;Estoque_d
NESTLE GREGO LIGHT MARACUJA 12X360G;1;ATACADO;249;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;360G;114;0;4,484923;0;0;114
NINHO FRUTI MORANGO 8X250G;1;ATACADO;254;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;250G;282;0;2,890756;0;0;282
CHANDELLE SENSACAO 20X220G;1;ATACADO;255;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;20X220G;;0;1,9965;0;0;0
BEB LACTEA NESTLE MORANGO 10X900G;1;ATACADO;169;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;10X900G;0;0;5,017746;0;0;0
BEB LACTEA NESTLE POLPA 3 SABORES 6X540G;1;ATACADO;171;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;6X540G;0;0;2,585175;0;0;0
BEB LACTEA NINHO SOLEIL MORANGO 48X180G;1;ATACADO;178;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;180G;0;0;1,530417;0;0;0
IOGURTE NINHO SOLEIL MORANGO 10X900G;1;ATACADO;179;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;10X900G;0;0;5,717228;0;0;0
CHAMBINHO PETIT MRG 12X480G;1;ATACADO;182;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;480G;270;0;4,673512;1;0;269
CHAMBINHO PETIT MOR 16X320G;1;ATACADO;183;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;320G;2376;1;4,096632;172;0;2204
NINHO SOLEIL PETIT MOR 28X360G;1;ATACADO;184;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;28X360G;0;0;2,013296;0;0;0
CHAMYTO NECTAR 27X200ML LARANJA;1;ATACADO;185;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;27X200ML;0;0;0,862207;0;0;0
CHANDELLE CHOCOLATE BRANCO 20X220G;1;ATACADO;189;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;20X220G;0;0;2,272754;0;0;0
CHANDELLE CREME+BISC NEGRESCO 24X111G;1;ATACADO;190;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;24X111G;0;0;1,539167;0;0;0
CHANDELLE TORTA LIMAO 20X180G;1;ATACADO;191;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;20X180G;0;0;1,9965;0;0;0
IOGURTE NESCAU COM CEREAL 24X106G;1;ATACADO;197;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;24X106G;0;0;1,92725;0;0;0
NESTLE GREGO IOG LIGHT 3 SAB 6X540G;1;ATACADO;206;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;540G;90;0;5,620004;0;0;90
IOGURTE NESTLE GREGO+CORN FLAKES 24X105G;1;ATACADO;209;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;24X105G;;0;1,689583;0;0;0
CHAMYTO IOGURTE MOR+CER CHOC 24X130G;1;ATACADO;167;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;130G;863;0;2,036181;19;0;844
BEB LACTEA NESTON POLPA 6X600G;1;ATACADO;175;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;6X600G;0;0;4,7021;0;0;0
IOGURTE GREGO NESTLE TRADICIONAL 24X110G;1;ATACADO;196;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;24X110G;0;0;1,399125;0;0;0
IOGURTE NESTLE GREGO+PED MORANGO 24X130G;1;ATACADO;211;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;24X130G;0;0;1,773375;0;0;0
BEB LACTEA NINHO SOLEIL MACA+BNA 48X180G;1;ATACADO;177;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;180G;0;0;1,530417;0;0;0
CHAMBINHO PETIT CHOC 20X480G;1;ATACADO;181;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;20X480G;0;0;3,8178;0;0;0
CHAMYTO NECTAR 27X200ML MACA;1;ATACADO;186;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;27X200ML;0;0;0,862207;0;0;0
NESTON IOGURTE LIQ MACA BNA 12X850G;1;ATACADO;174;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;850G;460;0;4,955856;28;0;432
NESTLE FLAN MORANGO 20X220G;1;ATACADO;205;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;220G;0;0;1,53695;0;0;0
IOGURTE NESTLE GREGO+PED ABACAXI 24X130G;1;ATACADO;210;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;24X130G;;0;1,69;0;0;0
IOGURTE NESTLE NATURAL MEL 28X170G;1;ATACADO;201;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;170G;491;0;1,498853;0;0;491
LEITE FERM MOLICO VIT FRUTAS 48X170G;1;ATACADO;253;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;48X170G;0;0;1,466862;0;0;0
NINHO IOGURTE LIQ MACA E BANANA 12X850G;1;ATACADO;176;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;850G;543;0;6,26936;30;0;513
CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;1;ATACADO;168;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;130G;1663;0;2,036187;65;0;1598
BEB LACTEA NESTLE MORANGO 48X180G;1;ATACADO;170;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;48X180G;0;0;1,065934;0;0;0
NESTLE IOG NATURAL DESNATADO 28X160G;1;ATACADO;200;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;160G;134;0;1,498835;12;0;122
IOGURTE GREGO LIQ NESTLE FR VERM 48X170G;1;ATACADO;207;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;48X170G;0;0;1,348354;0;0;0
IOGURTE GREGO LIQ NESTLE TRADIC 48X170G;1;ATACADO;208;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;48X170G;0;0;1,240296;0;0;0
IOGURTE GREGO NESTLE SEM ACUCAR 24X110G;1;ATACADO;252;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;24X110G;0;0;1,3991;0;0;0
MOLICO LEIFERMENTADO LIQ MRG 24X170G;1;ATACADO;203;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;170G;0;0;1,4215;0;0;0
LEITE FERM MOLICO FRUT VERM 12X400G;1;ATACADO;279;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;12X400G;0;0;3,935694;0;0;0
PALLET 1,00X1,20 MTS;1;ATACADO;295;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;1 UN;0;0;25,2;0;0;0
CHANDELLE CHOCOLATE 20X220G;1;ATACADO;188;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;20X220G;0;0;1,948212;0;0;0
NINHO SOLEIL PETIT MRG+BNA&MC 16X320G;1;ATACADO;212;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;320G;444;0;4,043793;0;0;444
CHAMYTO NECTAR 27X200ML UVA;1;ATACADO;187;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;27X200ML;0;0;0,862207;0;0;0
CHAMBINHO PETIT MRG 38X80G;1;ATACADO;247;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;38X80G;0;0;0,756809;0;0;0
NESTLE BEB LACTEA POLPA MORANGO 6X540G;1;ATACADO;172;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;540G;0;0;1,972959;0;0;0
IOGURTE NESTLE NATURAL 28X170G;1;ATACADO;199;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;170G;365;2;1,498853;34;0;331
IOGURTE GREGO NESTLE PESSEGO 12X400G;1;ATACADO;251;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;12X400G;0;0;4,028195;0;0;0
NESTLE GREGO IOG FRUTAS VERM 12X400G;1;ATACADO;194;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;400G;164;0;4,484923;0;0;164
NINHO IOGURTE POLPA 6X540G;1;ATACADO;180;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;540G;10953;18;3,31876;342;6;10605
IOGURTE NESTLE GREGO LIGHT MEL 48X170G;1;ATACADO;296;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;48X170G;0;0;1,333611;0;0;0
CHANDELLE BOMBOM GALAK 32X160G;1;ATACADO;297;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;CX 32X160G;0;0;2,190651;0;0;0
CHANDELLE BOMBOM CLASIC 32X160G;1;ATACADO;298;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;160G;0;0;2,190651;0;0;0
IOGURTE NESTLE GREGO LIGHT MAR 48X170G;1;ATACADO;299;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;CX 48X170G;0;0;1,333611;0;0;0
NINHO IOGURTE LIQ MACA E BANANA 24X170G;1;ATACADO;287;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;170G;1232;0;1,637921;48;0;1184
NESTLE FLAN CARAMELO 20X200G;1;ATACADO;204;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;200G;0;0;2,070993;0;0;0
REQUEIJAO CREMOSO NESTLE LIGHT 15X200G;1;ATACADO;214;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;PT 200G;651;0;4,064641;26;0;625
NINHO IOGURTE MORANGO 24X170G;1;ATACADO;288;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;170G;1235;15;1,637921;44;0;1191
NESTON IOGURTE POLPA 2 SABORES 6X540G;1;ATACADO;333;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;540G;4152;0;2,960189;117;2;4033
IOGURTE GREGO NESTLE ABACAXI 12X400G;1;ATACADO;250;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;12X400G;0;0;3,620388;0;0;0
NESTLE BICAM IOGURTE MORANGO 28X150G;1;ATACADO;192;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;150G;808;0;1,802214;49;0;759
NESTLE GREGO TORTA DE MORANGO 48X90G;1;ATACADO;403;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;90G;0;0;1,166828;0;0;0
LEITE FERM CHAMYTO CITRUS 20X6X75G;1;ATACADO;404;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;PC 6X75G;0;0;0,620107;0;0;0
LEITE FERM NINHO 20X6X75G;1;ATACADO;405;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;PC 6X75G;0;0;3,12651;0;0;0
CHANDELLE CHANTILLY CAFE 24X200G;1;ATACADO;454;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;24X200G;0;0;3,049127;0;0;0
CHANDELLE CHANTILLY CHOCOLATE 24X200G;1;ATACADO;448;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;200G;316;0;3,029954;2;0;314
CHANDELLE CHANTILLY CARAMELO 24X200G;1;ATACADO;449;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;24X200G;236;0;3,029975;0;0;236
CHANDELLE CHOCOLATE 24X180G;1;ATACADO;450;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;180G;351;0;2,642403;26;0;325
CHANDELLE CHOCOLATE 18X360G;1;ATACADO;453;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;360G;514;0;4,19907;7;0;507
CHAMBINHO PETIT ALGOD DOCE E TRF 16X320G;1;ATACADO;452;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;16X320G;0;0;3,545846;0;0;0
NESTLE GREGO TORTA DE LIMAO 48X90G;1;ATACADO;505;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;90G;0;0;1,166828;0;0;0
IOGURTE GREGO NESTLE DINIEPER 6X600G;1;ATACADO;193;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;6X600G;0;0;4,991272;0;0;0
CHANDELLE CHOCOLATE BRANCO 24X180G;1;ATACADO;705;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;180G;0;0;2,602285;0;0;0
IOGURTE GREGO NESTLE TORTA MACA 48X90G;1;ATACADO;506;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;48X90G;0;0;1,049321;0;0;0
CHAMBINHO CHOCOLATE 16X320G;1;ATACADO;451;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;320G;533;11;3,583306;27;0;506
CHAMYTO LEITE FERMENTADO 21X6X75G;1;ATACADO;759;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;PC 6X75G;182;0;3,279147;2;0;180
IOGURTE NESTLE GREGO BLUEBERRY 12X360G;1;ATACADO;828;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;12X360G;0;0;3,620388;0;0;0
IOGURTE NINHO POLPA S/LACTOSE MRG 12X360;1;ATACADO;843;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;12X360G;0;0;2,84591;0;0;0
NINHO IOGURTE FRUTI UVA 8X250G;1;ATACADO;844;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;250G;0;0;2,565831;0;0;0
IOGURTE GREGO NESTLE LIGHT TRADIC 48X90G;1;ATACADO;807;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;48X90G;0;0;1,051955;0;0;0
NESTLE GREGO IOG LT TORTA MARJ 48X90G;1;ATACADO;808;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;90G;0;0;1,167046;0;0;0
NESTLE GREGO IOG LIGHT T FRT VERM 48X90G;1;ATACADO;809;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;90G;0;0;1,255058;0;0;0
NESTLE GREGO TRADICIONAL 48X90G;1;ATACADO;810;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;90G;0;0;1,166828;0;0;0
