CODFILIAL,DTMOV,CODPROD,DESCRICAO,QT
1,16/11/2020 00:00,1736,NESTLE IOGURTE POLPA VITAMINA 6X540G,4
1,16/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,2
1,16/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,2
1,16/11/2020 00:00,1963,NESTLE GREGO TORTA LIMAO 24X90G,1
1,16/11/2020 00:00,1736,NESTLE IOGURTE POLPA VITAMINA 6X540G,2
1,16/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,1
1,16/11/2020 00:00,1736,NESTLE IOGURTE POLPA VITAMINA 6X540G,1
1,16/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,2
1,16/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,5
1,16/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,2
1,16/11/2020 00:00,1736,NESTLE IOGURTE POLPA VITAMINA 6X540G,1
1,17/11/2020 00:00,449,CHANDELLE CHANTILLY CARAMELO 24X200G,3
1,17/11/2020 00:00,1512,NESTLE IOGURTE VIT DE FRUTA 12X1,
1,17/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,6
1,17/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,1
1,17/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,1
1,17/11/2020 00:00,2347,CHAMBINHO PETIT MRG 64X80G,4
1,17/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,2
1,17/11/2020 00:00,1736,NESTLE IOGURTE POLPA VITAMINA 6X540G,3
1,17/11/2020 00:00,2347,CHAMBINHO PETIT MRG 64X80G,7
1,17/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,19
1,18/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,5
1,18/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,66
1,18/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,1
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,2
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
1,19/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,6
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,2
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,1
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,18
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,2
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,3
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,12
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,2
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,12
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,2
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,60
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,10
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,2
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,2
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,3
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,1
1,19/11/2020 00:00,2347,CHAMBINHO PETIT MRG 64X80G,6
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,12
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,2
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,2
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,4
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,1
1,19/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,6
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,5
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,10
1,19/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,180
1,20/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,6
