DESCRICAO,CODFILIAL,FILIAL,CODPROD,DTULTENT,VALORULTENT,QTULTENT
NESTLE GREGO LIGHT MARACUJA 12X360G,1,ATACADO,249,08/03/2021 00:00,4.484274,144
NINHO FRUTI MORANGO 8X250G,1,ATACADO,254,08/03/2021 00:00,2.890369,160
CHAMBINHO PETIT MRG 12X480G,1,ATACADO,182,08/03/2021 00:00,4.672871,144
CHAMBINHO PETIT MOR 16X320G,1,ATACADO,183,08/03/2021 00:00,4.096133,2688
NESTLE GREGO IOG LIGHT 3 SAB 6X540G,1,ATACADO,206,08/03/2021 00:00,5.61919,180
CHAMYTO IOGURTE MOR+CER CHOC 24X130G,1,ATACADO,167,08/03/2021 00:00,2.035873,720
NESTON IOGURTE LIQ MACA BNA 12X850G,1,ATACADO,174,08/03/2021 00:00,4.955138,504
IOGURTE NESTLE NATURAL MEL 28X170G,1,ATACADO,201,08/03/2021 00:00,1.498636,560
NINHO IOGURTE LIQ MACA E BANANA 12X850G,1,ATACADO,176,08/03/2021 00:00,6.268453,672
CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,1,ATACADO,168,08/03/2021 00:00,2.035887,1200
NESTLE IOG NATURAL DESNATADO 28X160G,1,ATACADO,200,08/03/2021 00:00,1.498618,280
MOLICO LEIFERMENTADO LIQ MRG 24X170G,1,ATACADO,203,14/02/2020 00:00,1.4215,480
PALLET 1.00X1.20 MTS,1,ATACADO,295,08/03/2021 00:00,25.2,84
NINHO SOLEIL PETIT MRG+BNA&MC 16X320G,1,ATACADO,212,08/03/2021 00:00,4.043216,384
IOGURTE NESTLE NATURAL 28X170G,1,ATACADO,199,08/03/2021 00:00,1.498636,560
NESTLE GREGO IOG FRUTAS VERM 12X400G,1,ATACADO,194,08/03/2021 00:00,4.484274,144
NINHO IOGURTE POLPA 6X540G,1,ATACADO,180,08/03/2021 00:00,3.31828,8550
NINHO IOGURTE LIQ MACA E BANANA 24X170G,1,ATACADO,287,08/03/2021 00:00,1.637684,1440
NESTLE FLAN CARAMELO 20X200G,1,ATACADO,204,27/02/2021 00:00,2.070993,200
REQUEIJAO CREMOSO NESTLE LIGHT 15X200G,1,ATACADO,214,08/03/2021 00:00,4.064066,585
NINHO IOGURTE MORANGO 24X170G,1,ATACADO,288,08/03/2021 00:00,1.637684,1440
NESTON IOGURTE POLPA 2 SABORES 6X540G,1,ATACADO,333,08/03/2021 00:00,2.959762,3600
