Cod_filial,FILIAL,CODPROD,DATA,DESCRICAO,EMBALAGEM,QTESTGER
1,ATACADO,167,16/11/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,2
1,ATACADO,167,17/11/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,2
1,ATACADO,167,18/11/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,2
1,ATACADO,167,19/11/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,662
1,ATACADO,167,20/11/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,601
1,ATACADO,167,21/11/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,349
1,ATACADO,167,22/11/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,349
1,ATACADO,167,23/11/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,266
1,ATACADO,167,24/11/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,194
1,ATACADO,167,25/11/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,7
1,ATACADO,167,26/11/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,7
1,ATACADO,167,27/11/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,638
1,ATACADO,167,28/11/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,469
1,ATACADO,167,29/11/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,469
1,ATACADO,167,01/12/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,8
1,ATACADO,167,02/12/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,8
1,ATACADO,167,03/12/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,968
1,ATACADO,167,04/12/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,876
1,ATACADO,167,05/12/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,615
1,ATACADO,167,06/12/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,615
1,ATACADO,167,07/12/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,345
1,ATACADO,167,08/12/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,214
1,ATACADO,167,09/12/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,8
1,ATACADO,167,10/12/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,2
1,ATACADO,167,11/12/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,951
1,ATACADO,167,12/12/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,858
1,ATACADO,167,13/12/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,858
1,ATACADO,167,14/12/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,842
1,ATACADO,167,15/12/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,530
1,ATACADO,167,16/12/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,530
1,ATACADO,167,17/12/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,399
1,ATACADO,167,18/12/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,924
1,ATACADO,167,19/12/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,662
1,ATACADO,167,20/12/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,662
1,ATACADO,167,21/12/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,547
1,ATACADO,167,22/12/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,215
1,ATACADO,167,23/12/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,62
1,ATACADO,167,24/12/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,5
1,ATACADO,167,25/12/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,5
1,ATACADO,167,26/12/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,5
1,ATACADO,167,27/12/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,5
1,ATACADO,167,28/12/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,863
1,ATACADO,167,29/12/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,444
1,ATACADO,167,30/12/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,368
1,ATACADO,167,31/12/2020 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,139
1,ATACADO,167,01/01/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,139
1,ATACADO,167,02/01/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,111
1,ATACADO,167,03/01/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,111
1,ATACADO,167,04/01/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,1025
1,ATACADO,167,05/01/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,828
1,ATACADO,167,06/01/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,675
1,ATACADO,167,07/01/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,353
1,ATACADO,167,08/01/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,285
